event_id,weapon_type_id,weapon_subtype_id
202001010001,8,18
202001010002,6,16
202001010003,6,15
202001010005,6,8
202001010006,6,17
202001010010,6,16
202001010010,5,5
202001010011,6,7
202001010015,8,18
202001010016,5,5
202001010019,6,8
202001010022,6,16
202001010025,9,21
202001020001,5,2
202001020002,5,5
202001020004,5,5
202001020005,5,5
202001020006,9,23
202001020007,5,5
202001020007,9,23
202001020008,5,5
202001020009,5,5
202001020012,5,5
202001020013,5,5
202001020013,8,18
202001020014,5,2
202001020016,5,5
202001020017,6,7
202001020017,5,5
202001020019,5,5
202001020020,6,11
202001020020,5,5
202001020024,5,2
202001030001,9,23
202001030002,5,5
202001030003,5,5
202001030003,8,18
202001030005,5,5
202001030005,8,18
202001030006,8,19
202001030007,8,20
202001030008,5,5
202001030009,5,5
202001030009,8,18
202001030011,5,5
202001030012,6,11
202001030015,6,16
202001030016,5,5
202001030018,6,15
202001040001,6,8
202001040002,6,29
202001040003,6,11
202001040003,5,2
202001040004,6,7
202001040005,5,5
202001040006,6,31
202001040007,5,5
202001040008,6,7
202001040010,6,11
202001040011,6,11
202001040012,6,11
202001040013,6,16
202001040014,6,8
202001040015,5,5
202001040015,9,23
202001050002,6,11
202001050002,5,2
202001050005,9,23
202001050005,9,21
202001050006,9,23
202001050007,5,5
202001050008,5,5
202001050009,9,21
202001050010,5,5
202001050011,6,15
202001050012,6,15
202001050015,6,8
202001050016,6,17
202001050017,6,17
202001050018,6,11
202001050019,6,16
202001050021,9,23
202001050022,5,5
202001050026,8,20
202001050026,9,23
202001050028,6,29
202001050033,6,11
202001050034,6,11
202001050035,8,18
202001050036,8,19
202001060004,6,17
202001060007,6,7
202001060008,5,5
202001060009,8,19
202001060014,5,5
202001060016,6,16
202001060018,5,5
202001060019,5,5
202001060021,6,16
202001070001,6,15
202001070002,6,15
202001070002,6,11
202001070002,5,2
202001070004,6,11
202001070006,5,2
202001070007,5,5
202001070009,6,8
202001070011,5,5
202001070013,5,2
202001070014,6,11
202001070015,8,18
202001070016,5,5
202001070018,5,5
202001070020,6,7
202001070020,5,2
202001070021,6,16
202001070022,5,5
202001070022,8,18
202001070023,8,18
202001080002,6,7
202001080003,6,15
202001080004,8,18
202001080005,6,15
202001080006,5,3
202001080006,9,23
202001080009,6,7
202001080010,6,7
202001080011,5,5
202001080012,6,11
202001080013,6,31
202001080017,5,5
202001080018,5,5
202001090002,8,18
202001090003,5,5
202001090004,8,19
202001090005,6,11
202001090006,5,5
202001090007,9,27
202001090009,9,23
202001090011,6,17
202001090013,5,5
202001090014,6,11
202001090015,6,7
202001090015,5,2
202001090016,8,18
202001090017,5,5
202001090020,5,3
202001090021,6,16
202001090023,5,5
202001090024,5,5
202001090025,8,18
202001090026,6,16
202001090030,5,3
202001100001,6,13
202001100002,5,2
202001100004,6,12
202001100007,6,11
202001100008,6,17
202001100008,5,2
202001100009,5,2
202001100010,5,5
202001100011,5,5
202001100012,5,5
202001100013,5,5
202001100014,5,5
202001100017,8,18
202001100019,8,18
202001100020,8,18
202001100021,5,5
202001100022,5,5
202001110001,5,5
202001110002,6,17
202001110005,6,16
202001110006,8,18
202001110008,5,5
202001110009,5,5
202001110015,5,2
202001110016,5,5
202001110017,5,2
202001110018,6,7
202001110020,8,18
202001110021,8,18
202001110022,6,8
202001110025,6,15
202001110026,6,16
202001110027,5,5
202001120001,5,2
202001120002,5,5
202001120004,6,11
202001120005,6,13
202001120006,6,11
202001120007,6,11
202001120007,5,5
202001120011,8,18
202001120013,5,5
202001120014,5,5
202001120017,6,11
202001120019,6,16
202001120020,6,16
202001130001,6,16
202001130001,8,18
202001130002,5,5
202001130003,5,5
202001130003,8,18
202001130004,6,16
202001130010,6,17
202001130011,6,31
202001130015,6,17
202001130016,8,18
202001130017,5,5
202001130020,5,5
202001140002,6,7
202001140003,6,16
202001140004,5,5
202001140005,6,11
202001140006,9,23
202001140006,9,27
202001140007,6,16
202001140008,6,16
202001140009,6,31
202001140012,6,16
202001140013,5,3
202001140019,5,5
202001140020,5,5
202001140021,6,11
202001140022,5,5
202001140023,5,5
202001140025,5,5
202001140026,8,18
202001150002,9,23
202001150003,5,5
202001150004,5,5
202001150005,5,4
202001150006,6,11
202001150007,6,16
202001150009,6,11
202001150009,5,2
202001150010,5,5
202001150012,5,5
202001150014,6,17
202001150016,5,5
202001150017,5,2
202001150017,8,18
202001150019,5,5
202001150023,5,5
202001150026,5,5
202001150028,5,5
202001160002,5,2
202001160003,6,29
202001160004,6,8
202001160005,6,15
202001160006,6,8
202001160007,5,5
202001160009,6,16
202001160016,6,15
202001160017,6,16
202001160018,8,18
202001160019,8,18
202001160020,8,18
202001160021,8,18
202001160022,8,18
202001160027,6,11
202001160028,6,16
202001160031,6,16
202001160032,5,5
202001160032,8,18
202001160033,8,18
202001160035,8,18
202001160036,8,18
202001160037,6,16
202001160039,5,5
202001170002,6,17
202001170003,6,8
202001170004,6,11
202001170004,5,2
202001170005,6,7
202001170007,5,5
202001170009,6,8
202001170010,6,11
202001170012,6,16
202001170013,8,18
202001170014,8,18
202001170015,8,18
202001170019,5,5
202001170020,5,5
202001170024,5,5
202001170025,8,18
202001170026,5,5
202001170027,5,5
202001170028,5,5
202001170028,8,18
202001180001,6,11
202001180002,9,23
202001180003,5,5
202001180004,5,5
202001180007,6,15
202001180010,5,5
202001180011,6,15
202001180011,6,11
202001180011,5,2
202001180012,9,23
202001180014,5,5
202001180015,8,18
202001180017,5,5
202001190001,5,3
202001190002,5,5
202001190005,6,11
202001190006,6,13
202001190007,6,16
202001190008,5,5
202001190009,5,5
202001190010,5,5
202001190011,6,15
202001190011,6,11
202001190011,5,5
202001190012,9,27
202001190015,5,5
202001190016,6,15
202001190017,6,16
202001190018,6,16
202001190020,5,5
202001190021,6,16
202001200001,8,19
202001200002,5,5
202001200003,5,5
202001200003,8,18
202001200004,5,5
202001200005,6,11
202001200010,6,12
202001200011,5,5
202001200012,5,3
202001200013,8,18
202001200014,8,18
202001200015,8,18
202001200016,8,18
202001200017,8,18
202001200018,8,18
202001200019,6,17
202001200022,6,16
202001200023,5,2
202001200024,5,2
202001200026,5,5
202001200027,8,18
202001200029,9,23
202001210001,6,7
202001210002,5,5
202001210007,8,18
202001210009,8,18
202001210010,8,18
202001210011,8,18
202001210012,8,18
202001210015,6,8
202001210017,5,2
202001210020,5,5
202001210021,6,11
202001210021,5,4
202001210024,6,15
202001210025,8,18
202001210026,5,5
202001210027,5,2
202001210027,8,18
202001210027,9,23
202001210028,5,3
202001210029,6,16
202001210030,6,16
202001210031,8,18
202001220001,6,16
202001220002,5,5
202001220003,8,19
202001220004,8,18
202001220005,8,18
202001220006,8,18
202001220007,8,18
202001220008,8,18
202001220009,8,18
202001220010,8,18
202001220011,6,8
202001220012,6,11
202001220013,5,2
202001220013,5,4
202001220014,9,23
202001220014,9,21
202001220015,5,3
202001220016,6,16
202001220017,5,5
202001220022,6,11
202001220023,6,7
202001220024,8,18
202001220025,6,17
202001220025,8,18
202001220029,5,5
202001220030,5,5
202001220031,6,16
202001220034,8,18
202001230001,5,5
202001230002,5,3
202001230003,5,5
202001230006,8,18
202001230007,6,16
202001230012,8,18
202001230014,5,5
202001230014,8,18
202001230015,5,5
202001230015,8,18
202001240001,6,7
202001240002,6,12
202001240003,5,2
202001240005,8,18
202001240006,5,5
202001240006,8,20
202001240006,9,23
202001240008,6,17
202001240010,5,2
202001240011,5,2
202001240012,5,2
202001240015,5,5
202001250001,6,11
202001250002,9,27
202001250003,5,5
202001250003,8,18
202001250004,5,5
202001250005,6,16
202001250008,6,7
202001250009,6,7
202001250011,6,7
202001250012,6,7
202001250013,6,17
202001250014,6,29
202001250016,5,5
202001250017,6,13
202001250018,5,5
202001250020,9,21
202001250022,8,18
202001250023,8,18
202001250023,9,23
202001250024,8,18
202001250026,9,23
202001250028,5,5
202001260001,6,16
202001260002,6,16
202001260003,8,19
202001260012,6,11
202001260013,6,15
202001260014,5,5
202001260015,5,5
202001260017,5,5
202001260018,6,7
202001260020,5,5
202001260021,5,5
202001260022,6,10
202001260024,5,5
202001260024,8,18
202001260029,5,5
202001260030,5,5
202001260030,8,18
202001260031,8,18
202001260034,6,16
202001270001,5,2
202001270002,6,12
202001270003,6,16
202001270006,9,23
202001270007,5,5
202001270007,8,18
202001270008,5,5
202001270008,8,18
202001270015,6,11
202001270016,5,5
202001270017,6,7
202001270017,6,11
202001270019,6,14
202001270020,6,17
202001270021,6,16
202001270022,6,16
202001270023,6,16
202001270034,6,11
202001270035,6,11
202001270036,6,11
202001270037,6,16
202001270038,6,16
202001270040,8,18
202001270041,8,18
202001270042,8,18
202001280003,6,8
202001280003,5,5
202001280004,5,5
202001280005,5,5
202001280006,8,18
202001280007,5,5
202001280008,6,12
202001280021,8,18
202001280022,8,18
202001280023,8,18
202001280024,6,16
202001280024,5,5
202001280025,5,5
202001280027,6,11
202001280028,6,11
202001280029,5,5
202001280030,5,5
202001280032,8,18
202001290001,8,18
202001290003,8,18
202001290004,8,18
202001290005,5,2
202001290005,9,23
202001290006,5,2
202001290006,9,23
202001290007,5,2
202001290007,9,23
202001290009,8,19
202001290010,5,5
202001290011,5,3
202001290012,5,5
202001290013,5,5
202001290015,6,16
202001290020,8,18
202001290022,5,5
202001290023,5,5
202001290026,6,11
202001290027,8,18
202001290035,6,11
202001290036,6,11
202001290037,6,11
202001290038,5,5
202001290043,8,18
202001290044,8,19
202001290045,8,19
202001290046,8,19
202001300001,6,13
202001300002,6,13
202001300004,5,5
202001300006,5,5
202001300006,9,23
202001300008,5,5
202001300008,8,18
202001300008,9,23
202001300011,5,3
202001300012,6,31
202001300014,5,3
202001300016,6,8
202001300017,6,17
202001300018,6,8
202001300033,5,5
202001300034,8,20
202001300035,8,18
202001300038,6,15
202001300040,6,7
202001300044,5,5
202001300045,5,5
202001300046,5,5
202001300048,5,5
202001300048,9,27
202001300051,5,5
202001300053,8,19
202001300054,8,19
202001300055,9,23
202001310001,9,27
202001310002,6,16
202001310002,5,4
202001310002,5,5
202001310006,6,17
202001310008,5,5
202001310011,6,11
202001310016,6,16
202001310018,6,11
202001310019,9,23
202001310019,9,22
202002010003,6,16
202002010004,6,8
202002010005,6,16
202002010007,6,15
202002010008,6,15
202002010009,6,15
202002010011,5,5
202002010013,5,5
202002010015,5,5
202002010023,5,3
202002010024,6,16
202002020001,5,5
202002020002,6,17
202002020003,6,7
202002020004,6,16
202002020006,9,23
202002020010,8,18
202002020012,9,23
202002020013,9,23
202002020014,9,23
202002020015,9,23
202002020016,9,23
202002020017,9,23
202002020018,5,5
202002020020,6,11
202002020021,5,5
202002020022,6,13
202002020023,5,5
202002020024,8,18
202002020030,6,10
202002020031,6,8
202002020035,5,5
202002030002,6,11
202002030002,5,4
202002030005,9,23
202002030007,8,18
202002030010,6,11
202002030011,5,5
202002030012,8,18
202002030013,6,16
202002030014,9,23
202002030022,8,19
202002030023,6,8
202002030026,6,11
202002030026,5,2
202002040001,9,23
202002040007,8,18
202002040007,9,23
202002040008,8,18
202002040008,9,23
202002040009,8,18
202002040009,9,23
202002040010,8,18
202002040010,9,23
202002040011,8,18
202002040011,9,23
202002040013,6,16
202002040015,6,16
202002040017,5,5
202002040019,5,5
