event_id,target_type_id,target_subtype_id,nationality_id
202002170025,1,12,92
202002170026,16,90,217
202002170027,1,11,214
202002180002,1,6,229
202002180002,14,75,229
202002180003,3,25,33
202002180004,14,75,147
202002180005,14,75,137
202002180007,4,27,153
202002180008,14,83,95
202002180009,14,67,200
202002180010,14,68,95
202002180011,14,74,33
202002180013,14,75,229
202002180014,14,75,229
202002180015,17,94,228
202002180018,3,23,153
202002180018,14,77,153
202002180019,4,37,422
202002180021,17,94,228
202002180022,4,34,182
202002180023,3,25,92
202002180024,8,49,92
202002180025,14,77,200
202002180026,14,75,147
202002180027,4,27,4
202002180027,14,67,4
202002180030,2,15,160
202002180031,4,27,214
202002180032,4,27,214
202002180033,4,27,214
202002180034,11,57,160
202002180035,10,54,130
202002180036,4,27,153
202002190001,19,99,104
202002190002,1,2,75
202002190003,1,2,75
202002190004,14,67,75
202002190005,4,27,182
202002190006,14,68,95
202002190008,4,27,422
202002190008,4,27,182
202002190009,2,18,228
202002190015,2,18,4
202002190016,14,77,147
202002190016,14,68,147
202002190017,4,27,95
202002190018,4,29,147
202002190021,12,62,422
202002190022,2,15,92
202002190023,14,84,92
202002190024,1,3,92
202002190025,12,62,422
202002190025,12,61,200
202002190026,14,67,45
202002190028,14,75,123
202002190029,14,75,123
202002190030,14,75,123
202002190031,16,90,75
202002200002,3,25,104
202002200005,4,34,200
202002200006,4,35,200
202002200006,14,67,200
202002200010,4,34,228
202002200013,4,34,229
202002200013,3,25,229
202002200013,14,67,229
202002200016,2,15,4
202002200016,3,25,4
202002200017,1,12,141
202002200018,1,12,141
202002200020,3,25,4
202002200021,4,29,138
202002200022,4,29,138
202002200023,1,5,92
202002200024,4,34,45
202002200025,3,24,4
202002200026,14,76,233
202002200028,15,86,151
202002200029,14,82,45
202002210001,3,25,65
202002210001,2,18,65
202002210002,14,75,137
202002210005,14,67,160
202002210007,12,62,422
202002210009,14,84,92
202002210010,2,18,78
202002210013,4,27,4
202002210013,14,67,4
202002210017,14,67,155
202002210019,14,68,38
202002220002,14,74,95
202002220009,3,25,97
202002220009,14,67,155
202002220010,1,2,75
202002220011,14,77,160
202002220015,12,61,141
202002220019,4,35,4
202002220020,15,85,75
202002220021,22,109,92
202002230001,14,67,137
202002230004,14,72,95
202002230005,14,79,95
202002230006,1,2,95
202002230007,4,27,123
202002230008,14,83,65
202002230010,14,75,123
202002230014,15,87,92
202002230015,4,29,4
202002230017,3,25,4
202002230018,14,68,147
202002230019,10,54,87
202002230020,4,27,87
202002230023,3,24,153
202002230024,14,83,45
202002230025,14,71,217
202002240001,3,23,33
202002240001,14,67,33
202002240003,4,39,95
202002240006,17,94,4
202002240006,14,67,4
202002240007,3,22,65
202002240008,14,79,97
202002240009,14,76,97
202002240010,14,76,97
202002240012,2,18,205
202002240015,15,86,198
202002240017,22,109,153
202002240018,14,76,153
202002240020,1,11,38
202002250001,4,34,60
202002250002,4,35,4
202002250003,4,34,4
202002250004,14,67,4
202002250006,14,67,200
202002250008,22,109,153
202002250009,7,47,422
202002250010,3,23,92
202002250014,1,12,92
202002250015,15,85,160
202002250016,14,77,37
202002250017,14,72,37
202002260001,14,67,4
202002260006,19,103,4
202002260008,10,56,198
202002260011,1,12,92
202002260015,4,27,93
202002260018,4,27,37
202002260018,14,67,37
202002270002,14,74,95
202002270003,4,34,4
202002270004,3,23,4
202002270005,3,23,4
202002270007,14,67,4
202002270008,4,34,228
202002270009,14,70,228
202002270011,1,3,43
202002270012,1,3,43
202002270016,15,86,43
202002270016,2,15,43
202002270018,14,75,138
202002280005,14,67,229
202002280006,4,29,205
202002280007,3,25,19
202002280008,2,18,92
202002280009,3,25,4
202002280010,14,67,4
202002280015,4,35,200
202002280016,14,83,95
202002280024,14,65,200
202002290002,3,22,33
202002290003,4,34,110
202002290004,11,59,228
202002290005,4,34,160
202002290006,14,75,147
202002290007,3,23,4
202002290008,4,39,95
202002290009,4,39,95
202002290011,4,29,138
202002290012,3,22,146
202002290013,4,27,146
202002290015,14,77,45
202002290017,3,23,93
202002290018,14,75,229
202002290020,15,86,195
202002290021,14,84,222
202003010002,13,66,422
202003010003,4,29,182
202003010005,14,75,147
202003010006,14,75,147
202003010007,14,75,147
202003010008,3,23,14
202003010009,14,75,147
202003010010,14,75,147
202003010011,14,75,147
202003010012,14,75,147
202003010013,7,47,422
202003010013,4,27,422
202003010014,4,34,4
202003010018,14,73,182
202003010020,2,15,95
202003010022,8,50,98
202003010030,7,47,422
202003020001,4,34,4
202003020003,3,22,4
202003020005,3,22,4
202003020006,3,22,4
202003020007,3,22,4
202003020009,4,33,4
202003020010,14,67,4
202003020012,14,79,4
202003020013,4,27,4
202003020014,14,67,4
202003020015,14,84,75
202003020018,2,18,209
202003020019,14,83,95
202003020020,10,56,95
202003020022,3,22,4
202003020023,3,22,4
202003020024,3,22,4
202003020025,3,22,4
202003020029,2,14,182
202003020030,14,76,233
202003020031,2,15,160
202003020032,8,50,98
202003020033,2,18,98
202003020037,4,34,97
202003020041,12,62,422
202003020042,14,68,92
202003020049,14,67,41
202003020050,14,67,41
202003020051,14,67,41
202003020052,14,65,33
202003030003,4,34,4
202003030006,4,27,4
202003030006,14,67,4
202003030007,3,22,4
202003030008,3,22,4
202003030013,14,83,95
202003030013,14,67,95
202003030017,14,67,95
202003030021,3,25,4
202003030022,4,35,33
202003030023,4,35,33
202003030025,4,35,160
202003030026,3,23,93
202003030027,3,25,4
202003030033,8,48,147
202003030033,14,70,147
202003030034,2,15,37
202003040002,14,73,4
202003040003,3,25,4
202003040004,3,25,4
202003040004,14,67,4
202003040009,3,25,4
202003040009,14,67,4
202003040015,4,27,147
202003040016,3,25,92
202003040016,14,68,92
202003040018,4,36,95
202003040020,3,22,147
202003040020,4,29,147
202003040020,14,67,147
202003040021,1,8,147
202003040021,14,75,147
202003040022,14,113,92
202003040023,15,85,92
202003040024,3,23,4
202003040028,14,67,147
202003040029,14,84,78
202003040030,1,12,141
202003040031,14,75,137
202003040032,10,53,53
202003050003,3,24,4
202003050006,3,25,4
202003050007,3,25,4
202003050007,4,34,4
202003050007,17,94,4
202003050009,2,21,95
202003050010,13,66,422
202003050011,13,66,422
202003050014,4,27,4
202003050014,3,24,4
202003050015,3,24,33
202003050017,3,25,160
202003050018,15,86,92
202003050022,1,112,98
202003050023,15,86,92
202003050028,2,15,147
202003060001,4,34,4
202003060004,3,22,4
202003060006,14,78,4
202003060007,3,23,208
202003060007,14,67,208
202003060008,14,76,95
202003060009,14,68,92
202003060010,3,22,92
202003060010,14,68,92
202003060012,3,25,182
202003060014,2,15,160
202003060016,4,35,214
202003060019,4,27,213
202003060020,14,84,147
202003060023,4,35,228
202003060026,3,23,205
202003060027,14,76,200
202003060029,2,18,214
202003070001,3,25,4
202003070002,3,23,4
202003070004,17,94,4
202003070004,14,67,4
202003070005,3,23,153
202003070005,14,67,153
202003070006,14,77,95
202003070007,21,108,95
202003070008,3,22,37
202003070008,14,67,37
202003070009,7,47,422
202003070011,14,65,78
202003070012,14,83,45
202003070013,2,19,222
202003070014,4,27,160
202003070014,14,68,160
202003070017,14,76,228
202003070018,14,76,228
202003070023,4,34,94
202003070030,10,55,4
202003070034,3,22,37
202003070034,14,67,37
202003080002,2,20,4
202003080002,4,36,4
202003080003,2,18,4
202003080005,1,7,95
202003080006,14,78,37
202003080006,4,34,37
202003080006,3,25,37
202003080007,4,27,146
202003080010,14,67,200
202003080011,14,73,228
202003080015,2,15,160
202003080016,14,75,33
202003080017,14,75,33
202003080020,14,73,19
202003080021,14,73,137
202003080024,14,67,33
202003080025,2,18,205
202003090001,4,36,182
202003090001,14,67,182
202003090002,2,17,4
202003090002,3,25,4
202003090003,4,34,95
202003090003,4,39,95
202003090004,2,17,195
202003090004,3,25,195
202003090005,14,67,95
202003090008,14,73,153
202003090009,14,67,4
202003090010,1,12,160
202003090011,8,48,153
202003090019,4,27,93
202003090020,14,77,98
202003090024,15,86,195
202003090025,4,35,123
202003100002,3,23,4
202003100005,4,35,214
202003100006,14,83,95
202003100007,1,7,95
202003100008,3,24,95
202003100009,3,22,92
202003100010,14,75,123
202003100013,8,49,228
202003100014,8,49,228
202003100015,2,21,228
202003100016,14,84,75
202003100017,14,67,98
202003100018,15,87,92
202003100021,4,27,182
202003100022,14,82,45
202003110002,3,25,4
202003110003,3,23,4
202003110007,3,23,104
202003110008,19,99,104
202003110009,2,18,104
202003110010,1,6,104
202003110011,14,73,104
202003110012,14,67,160
202003110013,2,15,160
202003110015,3,25,92
202003110016,2,18,141
202003110017,14,67,141
202003110019,4,34,228
202003110023,14,77,98
202003110027,14,68,138
202003110028,14,68,138
202003110029,3,25,153
202003120004,4,27,422
202003120006,14,75,95
202003120007,14,75,95
202003120010,4,36,209
202003120010,17,94,200
202003120011,1,7,153
202003120012,14,113,160
202003120014,21,108,45
202003120026,2,15,95
202003120026,3,25,95
202003120028,14,84,88
202003120029,14,77,113
202003130001,3,25,4
202003130001,10,54,4
202003130001,14,67,4
202003130005,3,23,104
202003130008,14,75,123
202003130009,8,49,33
202003130014,4,27,4
202003130014,14,76,4
202003130021,7,47,422
202003130024,14,75,228
202003130026,14,67,147
202003130027,14,67,147
202003130028,14,67,147
202003130030,3,22,92
202003130031,14,83,95
202003130035,1,6,228
202003130036,14,75,146
202003130037,14,75,146
202003130038,14,75,146
202003130039,14,75,146
202003130040,14,75,146
202003140004,4,27,95
202003140007,14,67,147
202003140008,14,70,147
202003140009,4,27,33
202003140010,4,39,95
202003140011,2,15,160
202003140012,4,35,160
202003140015,3,25,92
202003140016,14,75,228
202003140016,14,67,228
202003140017,4,34,228
202003150004,4,34,4
202003150006,4,27,146
202003150007,4,29,147
202003150008,13,63,104
202003150009,3,23,104
202003150011,14,67,147
202003150012,3,25,160
202003150013,4,34,228
202003150014,2,15,41
202003150014,7,47,422
202003150015,3,25,92
202003150016,14,73,228
202003150018,3,22,205
202003150019,4,35,205
202003150022,14,75,200
202003150023,3,23,45
202003150027,7,47,422
202003150028,21,108,228
202003160001,4,27,4
202003160001,14,67,4
202003160003,3,25,4
202003160003,14,67,4
202003160006,4,27,4
202003160006,3,24,4
202003160007,14,74,95
202003160010,2,18,182
202003160011,3,25,182
202003160013,4,34,160
202003160015,4,29,92
202003160016,14,75,147
202003160017,14,75,229
202003160018,14,75,229
202003160019,14,75,229
202003160031,14,73,228
202003160032,14,67,98
202003160034,14,76,92
202003160035,2,15,92
202003160037,3,25,92
202003160039,3,25,182
202003170001,4,35,4
202003170002,4,29,4
202003170002,14,67,4
202003170003,4,27,4
202003170003,3,24,4
202003170003,14,67,4
202003170004,3,25,4
202003170006,14,75,95
202003170007,4,27,95
202003170010,14,74,95
202003170013,2,21,205
202003170014,3,25,205
202003170017,14,68,147
202003170018,14,73,137
202003180001,2,20,4
202003180001,3,25,4
202003180002,3,23,4
202003180003,14,73,4
202003180004,4,27,4
202003180004,14,67,4
202003180005,14,73,4
202003180007,13,66,422
202003180008,14,75,137
202003180009,14,67,233
202003180010,14,67,233
202003180028,14,67,147
202003180029,14,75,147
202003180030,15,85,153
202003180031,4,35,228
202003180033,14,75,200
202003180034,12,62,422
202003190001,4,34,4
202003190002,4,27,4
202003190006,3,24,4
202003190007,3,25,4
202003190009,4,35,4
202003190010,4,34,4
202003190012,2,20,182
202003190013,2,20,182
202003190018,3,24,153
202003190021,4,34,228
202003190023,14,77,160
202003190024,14,77,160
202003190025,4,27,160
202003190026,4,29,209
202003190030,3,25,4
202003190031,14,68,138
202003190033,15,86,217
202003190034,15,86,151
202003200001,14,113,4
202003200002,4,27,4
202003200004,14,75,123
202003200010,4,35,205
202003200011,14,76,228
202003200012,18,97,199
202003200012,18,97,30
202003200013,21,108,228
202003210001,3,24,4
202003210001,17,94,4
202003210002,4,39,92
202003210002,3,25,92
202003210004,4,34,95
202003210005,14,68,92
202003210006,1,12,104
202003210006,4,34,104
202003210008,15,85,4
202003210009,4,37,422
202003210010,14,75,137
202003210011,4,36,4
202003210013,4,34,160
202003210015,4,34,167
202003220001,4,27,4
202003220002,4,27,4
202003220002,14,67,4
202003220003,4,27,4
202003220003,14,67,4
202003220003,17,94,4
202003220011,4,35,4
202003220012,4,35,4
202003220012,3,23,4
202003220013,4,29,147
202003220015,4,39,95
202003220016,3,23,92
202003220017,3,25,182
202003220018,2,15,182
202003220019,2,15,4
202003220020,14,75,137
202003220021,4,27,4
202003220025,2,15,110
202003220026,3,22,44
202003220027,4,27,92
202003220030,4,31,93
202003220031,14,75,147
202003220032,8,49,92
202003230001,3,23,4
202003230001,14,67,4
202003230004,3,25,4
202003230004,14,67,4
202003230006,3,24,4
202003230011,4,29,147
202003230012,3,22,95
202003230013,4,29,95
202003230019,2,21,33
202003230020,2,21,33
202003230021,4,35,182
202003230026,4,34,147
202003230027,4,34,147
202003240003,2,15,4
202003240007,4,34,95
202003240008,21,107,95
202003240009,4,35,123
202003240013,14,75,160
202003240016,14,77,33
202003240016,14,67,33
202003240020,14,67,147
202003240021,14,68,147
202003240023,16,90,144
202003250001,15,86,4
202003250002,14,67,4
202003250003,14,73,4
202003250003,3,25,4
202003250006,2,15,182
202003250006,4,34,422
202003250007,1,2,182
202003250008,4,27,182
202003250009,4,34,209
202003250010,4,29,95
202003250011,4,34,137
202003250011,3,22,137
202003250011,14,67,137
202003250013,2,18,65
202003250015,21,107,153
202003250016,4,27,4
202003250020,19,103,200
202003250022,3,25,4
202003250022,14,77,4
202003250025,14,73,45
202003260002,3,24,4
202003260003,2,21,4
202003260004,14,78,4
202003260005,14,84,123
202003260006,14,75,95
202003260007,3,25,92
202003260008,13,66,422
202003260009,4,29,153
202003260011,3,23,97
202003260014,16,90,43
202003260019,3,22,45
202003260020,3,22,45
202003260021,3,22,45
202003260022,3,22,45
202003260023,3,22,45
202003260024,21,107,60
202003260025,21,107,60
202003260026,21,107,60
202003260027,21,107,60
202003260028,21,107,60
202003270005,14,68,92
202003270007,17,94,4
202003270017,1,1,217
202003270018,21,107,217
202003270019,3,25,217
202003280002,14,75,173
202003280003,14,75,173
202003280004,4,27,182
202003280005,4,35,37
202003280005,2,15,37
202003280005,14,67,37
202003280006,14,75,33
202003280008,14,73,147
202003280009,14,67,4
202003280011,14,69,4
202003280014,4,29,153
202003280015,4,34,160
202003280016,14,75,95
202003280019,4,34,200
202003280021,1,10,59
202003290001,2,18,182
202003290002,3,23,33
202003290009,2,18,182
202003290014,14,73,123
202003290021,14,75,123
202003290022,2,19,123
202003300001,2,20,4
202003300004,3,23,153
202003300005,3,24,4
202003300011,3,22,44
202003300014,1,10,93
202003300014,1,10,144
202003300018,10,53,130
202003300019,4,34,92
202003300020,14,67,138
202003300024,19,104,123
202003310001,4,34,4
202003310002,4,36,4
202003310006,2,15,160
202003310007,4,27,95
202003310008,3,22,44
202003310009,4,34,95
202003310010,14,75,95
202003310011,4,29,422
202003310012,21,106,209
202003310013,14,75,147
202003310017,12,61,78
202003310019,14,113,182
202004010001,14,73,4
202004010004,14,68,92
202004010005,14,68,92
202004010006,1,12,104
202004010006,14,77,104
202004010007,3,25,95
202004010008,3,25,95
202004010013,4,35,182
202004010013,14,67,182
202004010015,14,68,153
202004010018,14,68,160
202004010019,2,15,160
202004020005,14,68,92
202004020006,17,94,4
202004020008,17,94,33
202004020011,15,87,217
202004020025,14,76,147
202004020026,16,90,603
202004020027,16,90,603
202004020028,14,73,182
202004020028,4,34,182
202004020029,1,1,153
202004020030,4,34,160
202004020031,1,7,44
202004020032,19,99,137
202004020033,19,99,137
202004030002,2,18,4
202004030005,4,27,4
202004030006,3,23,4
202004030007,14,83,45
202004030009,4,29,95
202004030014,4,27,4
202004030015,4,27,4
202004030016,4,27,4
202004030024,14,75,147
202004030026,16,90,603
202004030027,16,90,603
202004030028,14,73,95
202004030031,4,29,95
202004030033,14,68,147
202004030033,14,76,147
202004040002,14,68,4
202004040007,14,68,69
202004040008,4,29,228
202004040010,4,27,4
202004040011,3,25,4
202004040013,2,18,182
202004040013,1,2,182
202004040014,16,90,142
202004040015,14,76,92
202004040016,4,29,95
202004050001,3,23,4
202004050002,4,35,4
202004050003,3,25,4
202004050004,4,36,95
202004050005,14,67,153
202004050007,14,67,37
202004050016,14,75,33
202004050019,21,108,228
202004050020,3,26,228
202004050021,17,94,4
202004050022,16,90,142
202004050023,16,90,603
202004050024,2,15,160
202004050025,16,90,144
202004050029,2,21,162
202004050032,15,86,92
202004050034,14,83,95
202004050035,4,39,147
202004050037,2,15,160
202004060003,4,27,4
202004060004,4,27,4
202004060005,4,27,4
202004060007,14,75,137
202004060008,3,22,137
202004060008,1,3,137
202004060008,14,76,137
202004060009,1,12,137
202004060009,14,77,223
202004060011,4,27,123
202004060016,14,75,147
202004060017,19,103,92
202004060018,14,73,153
202004060019,4,34,160
202004060020,14,73,4
202004060021,16,90,142
202004060022,1,1,999
202004060023,4,35,147
202004060023,14,73,147
202004060025,14,75,95
202004060026,3,25,95
202004060027,2,15,75
202004060030,16,90,603
202004070002,14,67,4
202004070004,3,25,182
202004070004,14,67,182
202004070005,8,49,137
202004070005,1,6,137
202004070005,14,76,137
202004070006,4,34,137
202004070006,14,75,137
202004070008,14,75,137
202004070009,3,23,92
202004070010,17,94,4
202004070011,17,94,4
202004070012,22,109,200
202004070017,1,1,153
202004070018,3,23,153
202004070022,15,85,147
202004070022,14,67,147
202004070023,14,76,160
202004070023,4,34,160
202004070023,3,25,160
202004070024,1,12,92
202004070025,1,7,147
202004070025,14,67,147
202004070026,4,34,147
202004070026,14,67,147
202004070027,14,75,147
202004070030,4,29,147
202004070031,10,55,214
202004070034,1,6,37
202004070034,14,67,37
202004080001,2,20,4
202004080001,3,25,4
202004080003,22,109,153
202004080004,14,77,209
202004080007,14,77,182
202004080009,15,86,217
202004080011,3,25,92
202004080012,3,25,95
202004080013,4,39,95
202004080016,2,15,228
202004080017,14,67,92
202004080018,14,76,147
202004080018,14,67,147
202004080020,1,10,143
202004080022,14,75,37
202004080023,8,50,4
202004090001,1,3,4
202004090002,4,37,422
202004090003,4,29,33
202004090004,3,25,95
202004090005,4,39,95
202004090006,2,18,123
202004090006,4,35,123
202004090009,14,72,95
202004090011,14,67,182
202004090012,4,34,200
202004090013,14,77,160
202004090014,16,90,142
202004090015,3,25,4
202004090016,4,27,123
202004090017,15,85,4
202004090019,15,86,137
202004090019,8,49,137
202004090020,2,21,123
202004090021,2,15,228
202004090022,14,76,228
202004090023,14,67,147
202004100001,14,79,4
202004100007,15,85,147
202004100008,16,88,142
202004100009,16,90,142
202004100010,4,39,153
202004100011,16,90,603
202004100012,16,90,98
202004100013,14,67,229
202004100013,4,34,229
202004100014,14,67,229
202004100014,4,34,229
202004100015,14,67,229
202004100015,4,34,229
202004100016,14,67,229
202004100016,4,34,229
202004100017,4,29,160
202004110002,2,18,4
202004110003,2,18,182
202004110005,4,31,137
202004110005,14,67,137
202004110006,14,67,37
202004110012,4,35,95
202004110016,16,90,142
202004110017,16,90,142
202004110018,16,90,142
202004110019,16,90,142
202004110020,16,90,142
202004110021,16,90,53
202004110023,16,90,603
202004110024,14,67,160
202004110024,4,34,160
202004110027,4,27,153
202004110028,14,76,228
202004110031,4,34,4
202004110031,14,67,4
202004110033,3,25,217
202004120001,2,20,4
202004120001,14,67,4
202004120002,14,77,92
202004120004,3,24,4
202004120005,14,73,147
202004120007,3,23,4
202004120011,3,24,95
202004120012,14,79,95
202004120013,16,90,138
202004120016,16,90,96
202004120017,16,90,96
202004120018,14,75,229
202004120019,14,75,229
202004120020,4,36,95
202004120030,4,29,153
202004120031,13,63,113
202004120032,14,77,92
202004130001,14,77,4
202004130002,3,23,92
202004130003,3,25,104
202004130006,4,39,153
202004130007,4,39,95
202004130012,14,75,37
202004130013,15,86,167
202004130014,3,24,92
202004130016,16,90,603
202004130017,16,90,603
202004130018,16,90,603
202004130019,16,90,603
202004130020,16,90,603
202004130021,16,90,603
202004130022,4,27,97
202004130024,3,23,43
202004130025,21,107,43
202004130032,14,71,195
202004130032,14,75,195
202004130033,4,34,228
202004140001,3,25,4
202004140002,17,94,4
202004140003,17,93,200
202004140003,14,67,200
202004140004,1,1,95
202004140005,4,39,160
202004140006,1,12,75
202004140006,16,90,75
202004140008,4,35,182
202004140008,14,67,182
202004140010,16,90,603
202004140011,16,90,142
202004140012,16,90,142
202004140013,16,90,603
202004140015,14,67,147
202004140016,16,90,142
202004150002,14,73,4
202004150003,3,24,4
202004150004,3,23,122
202004150004,2,18,122
202004150004,11,57,122
202004150005,3,25,95
202004150006,4,34,209
202004150012,3,25,93
202004150015,4,33,603
202004150016,4,33,603
202004150027,2,15,78
202004150028,3,25,33
202004150031,1,6,182
202004160001,1,13,4
202004160003,4,35,4
202004160004,14,76,4
202004160005,3,25,4
202004160006,3,25,4
202004160009,17,94,200
202004160015,2,15,37
202004160018,16,90,603
202004160019,16,90,142
202004160020,4,27,147
202004160021,14,73,43
202004160022,3,25,92
202004160024,14,65,147
202004160025,4,27,4
202004160026,4,27,4
202004160029,16,90,217
202004160032,12,62,422
202004170001,4,35,4
202004170002,15,86,4
202004170002,3,25,4
202004170003,19,105,4
202004170004,3,25,4
202004170005,3,24,92
202004170009,14,77,95
202004170021,14,76,603
202004170022,3,23,4
202004170026,14,67,160
202004170026,4,34,160
202004170027,14,76,228
202004170029,2,18,45
202004180006,3,24,92
202004180007,4,35,200
202004180011,3,25,95
202004180012,4,34,95
202004180013,3,25,95
